budget,id,popularity,release_date,revenue,title,vote_average,vote_count,actor,director,return,release_year,tag
30000000,862,21.946943,1995-10-30,373554033.0,Toy Story,7.7,5415.0,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",John Lasseter,12.4518011,1995-01-01,Led Woody Andy toy live happily room Andy birthday brings Buzz Lightyear onto scene Afraid losing place Andy heart Woody plot Buzz But circumstance separate Buzz Woody owner duo eventually learns put aside differences 'Animation 'Comedy 'Family 'TomHanks 'TimAllen 'DonRickles 'JimVarney 'JohnLasseter
65000000,8844,17.015539,1995-12-15,262797249.0,Jumanji,6.9,2413.0,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce']",Joe Johnston,4.0430346,1995-01-01,When sibling Judy Peter discover enchanted board game open door magical world unwittingly invite Alan adult trapped inside game year living room Alan hope freedom finish game prof risky three find running giant rhinoceros evil monkey terrifying creatures.Roll dice unleash excitement 'Adventure 'Fantasy 'Family 'RobinWilliams 'JonathanHyde 'KirstenDunst 'BradleyPierce 'JoeJohnston
0,15602,11.7129,1995-12-22,0.0,Grumpier Old Men,6.5,92.0,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren']",Howard Deutch,0.0,1995-01-01,family wedding reignites ancient feud next-door neighbor fishing buddy John Max Meanwhile sultry Italian divorcée open restaurant local bait shop alarming local worry 'll scare fish away But le interested seafood cooking hot time Max.Still Yelling Still Fighting Still Ready Love 'Romance 'Comedy 'WalterMatthau 'JackLemmon 'Ann-Margret 'SophiaLoren 'HowardDeutch
16000000,31357,3.859495,1995-12-22,81452156.0,Waiting to Exhale,6.1,34.0,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon']",Forest Whitaker,5.09075975,1995-01-01,Cheated mistreated stepped woman holding breath waiting elusive good man break string less-than-stellar lover Friends confidant Vannah Bernie Glo Robin talk determined find better way breathe.Friends people let ... never let forget 'Comedy 'Drama 'Romance 'WhitneyHouston 'AngelaBassett 'LorettaDevine 'LelaRochon 'ForestWhitaker
0,11862,8.387519,1995-02-10,76578911.0,Father of the Bride Part II,5.7,173.0,"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley']",Charles Shyer,0.0,1995-01-01,Just George Banks recovered daughter wedding receives news pregnant ... George wife Nina expecting planning selling home plan like George change arrival grandchild kid own.Just When His World Back Normal ... For The Surprise His Life 'Comedy 'SteveMartin 'DianeKeaton 'MartinShort 'KimberlyWilliams-Paisley 'CharlesShyer
60000000,949,17.924927,1995-12-15,187436818.0,Heat,7.7,1886.0,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",Michael Mann,3.123946966666667,1995-01-01,Obsessive master thief Neil McCauley lead top-notch crew various insane heist throughout Los Angeles mentally unstable detective Vincent Hanna pursues without rest Each man recognizes respect ability dedication even though aware cat-and-mouse game may end violence.A Los Angeles Crime Saga 'Action 'Crime 'Drama 'Thriller 'AlPacino 'RobertDeNiro 'ValKilmer 'JonVoight 'MichaelMann
58000000,11860,6.677277,1995-12-15,0.0,Sabrina,6.2,141.0,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Angie Dickinson']",Sydney Pollack,0.0,1995-01-01,ugly duckling undergone remarkable change still harbor feeling crush carefree playboy business-focused brother something say it.You cordially invited surprising merger year 'Comedy 'Romance 'HarrisonFord 'JuliaOrmond 'GregKinnear 'AngieDickinson 'SydneyPollack
0,45325,2.561161,1995-12-22,0.0,Tom and Huck,5.4,45.0,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook', 'Michael McShane']",Peter Hewitt,0.0,1995-01-01,mischievous young boy Tom Sawyer witness murder deadly Injun Joe Tom becomes friend Huckleberry Finn boy future family Tom choose honoring friendship honoring oath town alcoholic accused murder Tom Huck several adventure trying retrieve evidence.The Original Bad Boys 'Action 'Adventure 'Drama 'Family 'JonathanTaylorThomas 'BradRenfro 'RachaelLeighCook 'MichaelMcShane 'PeterHewitt
35000000,9091,5.23158,1995-12-22,64350171.0,Sudden Death,5.5,174.0,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry']",Peter Hyams,1.8385763142857143,1995-01-01,International action superstar Jean Claude Van Damme team Powers Boothe Tension-packed suspense thriller set back-drop Stanley Cup game.Van Damme portrays father whose daughter suddenly taken championship hockey game With captor demanding billion dollar game end Van Damme frantically set plan motion rescue daughter abort impending explosion final buzzer ... Terror go overtime 'Action 'Adventure 'Thriller 'Jean-ClaudeVanDamme 'PowersBoothe 'DorianHarewood 'RaymondJ.Barry 'PeterHyams
58000000,710,14.686036,1995-11-16,352194034.0,GoldenEye,6.6,1194.0,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen']",Martin Campbell,6.072310931034483,1995-01-01,James Bond must unmask mysterious head Janus Syndicate prevent leader utilizing GoldenEye weapon system inflict devastating revenge Britain.No limit fear substitute 'Adventure 'Action 'Thriller 'PierceBrosnan 'SeanBean 'IzabellaScorupco 'FamkeJanssen 'MartinCampbell
62000000,9087,6.318445,1995-11-17,107879496.0,The American President,6.5,199.0,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen']",Rob Reiner,1.739991870967742,1995-01-01,Widowed U.S. president Andrew Shepherd one world powerful men anything want covets Sydney Ellen Wade Washington lobbyist But Shepherd attempt courting spark wild rumor decimate approval ratings.Why n't powerful man world one thing want 'Comedy 'Drama 'Romance 'MichaelDouglas 'AnnetteBening 'MichaelJ.Fox 'MartinSheen 'RobReiner
0,12110,5.430331,1995-12-22,0.0,Dracula: Dead and Loving It,5.7,210.0,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol']",Mel Brooks,0.0,1995-01-01,When lawyer show vampire doorstep fall prey charm join search fresh blood Enter Dr. van Helsing may one able vanquish count 'Comedy 'Horror 'LeslieNielsen 'MelBrooks 'AmyYasbeck 'PeterMacNicol 'MelBrooks
0,21032,12.140733,1995-12-22,11348324.0,Balto,7.1,423.0,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings']",Simon Wells,0.0,1995-01-01,outcast half-wolf risk life prevent deadly epidemic ravaging Nome Alaska.Part Dog Part Wolf All Hero 'Family 'Animation 'Adventure 'KevinBacon 'BobHoskins 'BridgetFonda 'JimCummings 'SimonWells
44000000,10858,5.092,1995-12-22,13681765.0,Nixon,7.1,72.0,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']",Oliver Stone,0.3109492045454545,1995-01-01,all-star cast power epic look American President Richard Nixon man carrying fate world shoulder battling self-destructive demand within Spanning troubled boyhood California shocking Watergate scandal would end presidency.Triumphant Victory Bitter Defeat Changed World But Lost Nation 'History 'Drama 'AnthonyHopkins 'JoanAllen 'PowersBoothe 'EdHarris 'OliverStone
98000000,1408,7.284477,1995-12-22,10017322.0,Cutthroat Island,5.7,137.0,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin']",Renny Harlin,0.1022175714285714,1995-01-01,Morgan Adams slave William Shaw quest recover three portion treasure map Unfortunately final portion held murderous uncle Dawg Her crew skeptical leadership ability must complete quest mutiny This made yet difficult effort British crown end pirate raids.The Course Has Been Set There Turning Back Prepare Your Weapons Summon Your Courage Discover Adventure Lifetime 'Action 'Adventure 'GeenaDavis 'MatthewModine 'FrankLangella 'MauryChaykin 'RennyHarlin
52000000,524,10.137389,1995-11-22,116112375.0,Casino,7.8,1343.0,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",Martin Scorsese,2.2329302884615383,1995-01-01,The life gambling paradise Las Vegas dark mafia underbelly.No one stay top forever 'Drama 'Crime 'RobertDeNiro 'SharonStone 'JoePesci 'JamesWoods 'MartinScorsese
16500000,4584,10.673167,1995-12-13,135000000.0,Sense and Sensibility,7.2,364.0,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson']",Ang Lee,8.181818181818182,1995-01-01,Rich Mr. Dashwood dy leaving second wife daughter poor rule inheritance Two daughter titular opposites.Lose heart come sens 'Drama 'Romance 'KateWinslet 'EmmaThompson 'HughGrant 'TomWilkinson 'AngLee
4000000,5,9.026586,1995-12-09,4300000.0,Four Rooms,6.5,539.0,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna']",Allison Anders,1.075,1995-01-01,Ted Bellhop first night job ... hotel unusual guest place outrageous predicament seems evening room service serving one unbelievable happening another.Twelve outrageous guest Four scandalous request And one lone bellhop first day job wildest New year Eve life 'Crime 'Comedy 'TimRoth 'AntonioBanderas 'JenniferBeals 'Madonna 'AllisonAnders
30000000,9273,8.205448,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi']",Steve Oedekerk,7.079517766666667,1995-01-01,Summoned ashram Tibet Ace find perilous journey jungle Africa find Shikaka missing sacred animal friendly Wachati tribe must accomplish wedding Wachati Princess prince warrior Wachootoos Ace fails result vicious tribal war.New animal New adventure Same hair 'Crime 'Comedy 'Adventure 'JimCarrey 'IanMcNeice 'SimonCallow 'MaynardEziashi 'SteveOedekerk
60000000,11517,7.337906,1995-11-21,35431113.0,Money Train,5.4,224.0,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake']",Joseph Ruben,0.59051855,1995-01-01,vengeful New York transit cop decides steal trainload subway fare foster brother fellow cop try protect him.Get GET OUT THE WAY 'Action 'Comedy 'Crime 'WesleySnipes 'WoodyHarrelson 'JenniferLopez 'RobertBlake 'JosephRuben
30250000,8012,12.669608,1995-10-20,115101622.0,Get Shorty,6.4,305.0,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito']",Barry Sonnenfeld,3.805012297520661,1995-01-01,Chili Palmer Miami mobster get sent bos psychopathic Bones Barboni collect bad debt Harry Zimm Hollywood producer specializes cheesy horror film When Chili meet Harry leading lady romantic spark fly After pitching life story movie idea Chili learns mobster Hollywood producer really n't different.The mob tough nothing like show business 'Comedy 'Thriller 'Crime 'JohnTravolta 'GeneHackman 'ReneRusso 'DannyDeVito 'BarrySonnenfeld
0,1710,10.701801,1995-10-27,0.0,Copycat,6.5,199.0,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara']",Jon Amiel,0.0,1995-01-01,agoraphobic psychologist female detective must work together take serial killer copy serial killer past.One man copying notorious killer history one time Together two woman must stop killing 're next 'Drama 'Thriller 'SigourneyWeaver 'HollyHunter 'WillPatton 'WilliamMcNamara 'JonAmiel
